index,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.2355007563808608,1.419701512541836,0.16588047156420918,0.8747498533973972,-3.4139581637845837,3.884959676546305
C(opening_family)[T.English Opening],-0.27056585514695486,1.3758327564074058,-0.1966560643994698,0.8518402880506015,-3.807256547641274,3.266124837347364
C(opening_family)[T.Nimzo-Larsen Attack],-0.29737334945616356,1.0830615212283543,-0.2745673663291976,0.7946318919680824,-3.0814716228024053,2.4867249238900784
C(opening_family)[T.Queen's Pawn Game],-0.3418582611407553,1.1827089085537923,-0.2890468302625513,0.7841465819552104,-3.3821082983143844,2.6983917760328735
C(opening_family)[T.Scandinavian Defense],0.48908294435902744,1.3445888850523908,0.36374162377518887,0.7309251072050675,-2.9672928199551327,3.945458708673187
C(opening_family)[T.Sicilian Defense],-0.3218934598629812,0.8920924762247882,-0.36082969920920055,0.7329705347100466,-2.615090174954242,1.9713032552282796
C(player_color)[T.white],-0.3627391693387488,0.4571083582326987,-0.7935518194005333,0.4634343611753776,-1.537773611929261,0.8122952732517636
error_in_first_15_cp_100,-0.033140621885412856,0.6925436949059567,-0.0478534742705486,0.9636856322015931,-1.8133808643951226,1.7470996206242968
C(opening_family)[T.English Opening]:error_in_first_15_cp_100,0.047081516340998504,1.794597778850656,0.026235135747884244,0.980084675321214,-4.5660789362457725,4.66024196892777
C(opening_family)[T.Nimzo-Larsen Attack]:error_in_first_15_cp_100,-9.378589637612004e-18,2.051867701342079e-15,-0.004570757476945363,0.9965298342679969,-5.283872431836398e-15,5.265115252561174e-15
C(opening_family)[T.Queen's Pawn Game]:error_in_first_15_cp_100,-1.7431780301138874e-16,2.75353295768554e-16,-0.6330696079915824,0.5545082666735589,-8.821359834966273e-16,5.335003774738499e-16
C(opening_family)[T.Scandinavian Defense]:error_in_first_15_cp_100,-1.5792857841467378,1.4252121688435022,-1.108105739391953,0.3182525182161539,-5.2429102973036805,2.0843387290102044
C(opening_family)[T.Sicilian Defense]:error_in_first_15_cp_100,0.4451131403207558,1.1399215699899394,0.3904769872235019,0.7122656752704315,-2.4851485415454118,3.3753748221869238
player_elo,0.0005765416941653673,0.0007695307938539446,0.7492119857581602,0.48745889463214287,-0.0014016001864783755,0.0025546835748091103
opp_elo,-0.00032161383350863727,0.0008627331009028233,-0.3727848545188291,0.7245890655327998,-0.0025393398716916263,0.0018961122046743518
